type,value,comment
ip,88.119.171.97,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.107,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.107,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.109,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.110,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.114,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.116,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.117,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.118,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.119,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.120,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.121,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.125,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.126,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.127,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.128,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.129,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.130,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.131,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.132,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.133,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.174.139,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.175.153,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.175.214,Cobalt Strike C2 server linked to Ryuk activity
ip,88.119.175.237,Cobalt Strike C2 server linked to Ryuk activity
ip,94.177.12.161,Cobalt Strike C2 server linked to Ryuk activity
ip,95.179.147.215,Cobalt Strike C2 server linked to Ryuk activity
ip,95.179.210.8,Cobalt Strike C2 server linked to Ryuk activity
ip,95.179.215.228,Cobalt Strike C2 server linked to Ryuk activity
ip,95.179.219.169,Cobalt Strike C2 server linked to Ryuk activity
ip,96.30.192.141,Cobalt Strike C2 server linked to Ryuk activity
ip,96.30.193.57,Cobalt Strike C2 server linked to Ryuk activity
ip,96.9.209.156,Cobalt Strike C2 server linked to Ryuk activity
ip,96.9.209.161,Cobalt Strike C2 server linked to Ryuk activity
ip,96.9.209.177,Cobalt Strike C2 server linked to Ryuk activity
ip,96.9.209.214,Cobalt Strike C2 server linked to Ryuk activity
ip,96.9.209.215,Cobalt Strike C2 server linked to Ryuk activity
ip,96.9.209.216,Cobalt Strike C2 server linked to Ryuk activity
ip,96.9.209.217,Cobalt Strike C2 server linked to Ryuk activity
ip,96.9.225.143,Cobalt Strike C2 server linked to Ryuk activity
ip,96.9.225.144,Cobalt Strike C2 server linked to Ryuk activity
domain,aaatus.com,Cobalt Strike C2 server linked to Ryuk activity
domain,actionshunter.com,Cobalt Strike C2 server linked to Ryuk activity
domain,avrenew.com,Cobalt Strike C2 server linked to Ryuk activity
domain,ayechecker.com,Cobalt Strike C2 server linked to Ryuk activity
domain,ayiyas.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backup-helper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backup-leader.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backup-simple.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backup1helper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backup1master.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backup1service.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backup1services.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backuphel.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backupmaster-service.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backupmasterservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backupmastter.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backupnas1.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backups1helper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,backupslive.com,Cobalt Strike C2 server linked to Ryuk activity
domain,bakcup-checker.com,Cobalt Strike C2 server linked to Ryuk activity
domain,bakcup-monster.com,Cobalt Strike C2 server linked to Ryuk activity
domain,balanarr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,best-backup.com,Cobalt Strike C2 server linked to Ryuk activity
domain,best-nas.com,Cobalt Strike C2 server linked to Ryuk activity
domain,bestservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,besttus.com,Cobalt Strike C2 server linked to Ryuk activity
domain,bigtus.com,Cobalt Strike C2 server linked to Ryuk activity
domain,biliyilish.com,Cobalt Strike C2 server linked to Ryuk activity
domain,bithunterr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,blackhoall.com,Cobalt Strike C2 server linked to Ryuk activity
domain,boost-helper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,boost-servicess.com,Cobalt Strike C2 server linked to Ryuk activity
domain,boost-yourservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,boostsecuritys.com,Cobalt Strike C2 server linked to Ryuk activity
domain,boostyourservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,bouths.com,Cobalt Strike C2 server linked to Ryuk activity
domain,brainschampions.com,Cobalt Strike C2 server linked to Ryuk activity
domain,bugsbunnyy.com,Cobalt Strike C2 server linked to Ryuk activity
domain,bukaguka.com,Cobalt Strike C2 server linked to Ryuk activity
domain,cantliee.com,Cobalt Strike C2 server linked to Ryuk activity
domain,caonimas.com,Cobalt Strike C2 server linked to Ryuk activity
domain,chainnss.com,Cobalt Strike C2 server linked to Ryuk activity
domain,chalengges.com,Cobalt Strike C2 server linked to Ryuk activity
domain,cheapshhot.com,Cobalt Strike C2 server linked to Ryuk activity
domain,check1domains.com,Cobalt Strike C2 server linked to Ryuk activity
domain,check4list.com,Cobalt Strike C2 server linked to Ryuk activity
domain,checkhunterr.com,Cobalt Strike C2 server linked to Ryuk activity
domain,checksservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,checktodrivers.com,Cobalt Strike C2 server linked to Ryuk activity
domain,checkwinupdate.com,Cobalt Strike C2 server linked to Ryuk activity
domain,chekingking.com,Cobalt Strike C2 server linked to Ryuk activity
domain,ciscocheckapi.com,Cobalt Strike C2 server linked to Ryuk activity
domain,cleardefencewin.com,Cobalt Strike C2 server linked to Ryuk activity
domain,cmdupdatewin.com,Cobalt Strike C2 server linked to Ryuk activity
domain,comssite.com,Cobalt Strike C2 server linked to Ryuk activity
domain,conhostservice.com,Cobalt Strike C2 server linked to Ryuk activity
domain,cylenceprotect.com,Cobalt Strike C2 server linked to Ryuk activity
domain,daemon-update.com,Cobalt Strike C2 server linked to Ryuk activity
domain,daggerclip.com,Cobalt Strike C2 server linked to Ryuk activity
domain,debug-service.com,Cobalt Strike C2 server linked to Ryuk activity
domain,defenswin.com,Cobalt Strike C2 server linked to Ryuk activity
domain,developmasters.com,Cobalt Strike C2 server linked to Ryuk activity
domain,dotmaingame.com,Cobalt Strike C2 server linked to Ryuk activity
domain,driver-boosters.com,Cobalt Strike C2 server linked to Ryuk activity
domain,driver1downloads.com,Cobalt Strike C2 server linked to Ryuk activity
domain,driver1master.com,Cobalt Strike C2 server linked to Ryuk activity
domain,driver1updater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,driverdwl.com,Cobalt Strike C2 server linked to Ryuk activity
domain,driverjumper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,driversupd.com,Cobalt Strike C2 server linked to Ryuk activity
domain,easytus.com,Cobalt Strike C2 server linked to Ryuk activity
domain,eighteenthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,eighthservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,eighthserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
domain,eithtservice-developer.com,Cobalt Strike C2 server linked to Ryuk activity
domain,elephantdrrive.com,Cobalt Strike C2 server linked to Ryuk activity
domain,eleventhservicehelper.com,Cobalt Strike C2 server linked to Ryuk activity
domain,eleventhserviceupdater.com,Cobalt Strike C2 server linked to Ryuk activity
